is_checked	word_display	freq_info	freq_rank	stem	pos	pos_detail	ipa	oxford3000	gsl	ccss_tier	cse_level	cefr	freq_grade	meaning_ko	definition_en	etymology	morpheme	word_formation	kr_curriculum	grade_range	textbook_included	curriculum_included	us_grade	atos	lexile	ngsl	gse	eiken_level	eiken_grade	hypernym	hyponym	synonym	antonym	collocation	word_family	register	domain	topic	regional_variant	era	learning_objective	prerequisite	error_pattern	teaching_method	sentence_1	sentence_2	sentence_3	pos_consistency	cefr_consistency	meaning_consistency	educational_value	analysis_date	system_version	status	quality_grade	validation_result	api_number
☐	He	-	11	he	PRON	PERS	/hiː/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	그는	The male person or animal previously mentioned or easily identified.	From Old English 'hē', from Proto-Germanic '*hiz'	simple	simple	초등	초3-초6	포함	포함	K	1	200L-400L	Yes	12	5급	초급	pronoun | person	none	himself	she | they | I | you | we	he said | he thought | he went | he saw | he knew	him | his | himself	general	general	people, pronouns	Global	current	Students will be able to use 'he' correctly to refer to a male person in a sentence.	Understanding of nouns and basic sentence structure.	Confusion with 'she' or 'him'. Incorrect case usage (e.g., 'Him is going').	Use visual aids with male characters. Practice sentence completion exercises. Role-playing scenarios.	He is a student.	He decided to pursue a career in medicine after volunteering at a local hospital.	He articulated his vision for the company with remarkable clarity and conviction.	FALSE	TRUE	TRUE	10	2025-12-23 19:20:28	3.3	완료	A++	LLM분석(1회시도,완성도100%)	11
☐	For	-	12	for	PREP	PREP, CONJ	/fɔːr/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	…을 위하여, … 때문에, … 동안	used to indicate the purpose, recipient, or duration of something	From Old English 'for', from Proto-Germanic '*fura', meaning 'before, in front of'.	simple	simple	초등	초3-초6	포함	포함	K	1.5	200L-400L	Yes	85	5급	초급	preposition | conjunction	for the sake of | for the purpose of	because of | due to | in order to | on behalf of	against	for example | for instance | for a while | for good | for sale | for free | for now | for sure	fore, afford, therefore	general	general	purpose, reason, time	Global	current	Students will be able to use 'for' correctly to express purpose, duration, and reason.	Basic understanding of nouns, verbs, and prepositions.	Confusion with 'to' when indicating purpose; incorrect prepositional usage.	Use real-life examples, gap-fill exercises, and sentence construction activities.	This gift is for you.	She is studying hard for her upcoming exams.	For all his efforts, he failed to achieve his goal.	TRUE	TRUE	TRUE	10	2025-12-23 19:20:40	3.3	완료	A++	LLM분석(1회시도,완성도100%)	12
☐	They	-	13	they	PRON	PRON	/ðeɪ/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	그들, 그분들	used to refer to two or more people or things previously mentioned or easily identified.	From Old Norse 'þeir', the nominative plural of 'hann' (he).	simple	simple	초등	초3-초6	포함	포함	K	1	200L-400L	Yes	20	5급	초급	pronoun|personal pronoun	none	them|those people	I|you|he|she|it	they say|they think|they believe|they know|they are	none	general	general	people, pronouns	Global	current	Students will be able to use 'they' correctly as a plural pronoun.	Understanding of singular pronouns (he, she, it).	Confusion with 'there', 'their', and 'they're'. Incorrect verb agreement.	Use visual aids showing groups of people. Practice sentence completion exercises.	They are my friends.	They decided to go to the park despite the cloudy weather.	They who seek knowledge must be diligent in their studies.	TRUE	TRUE	TRUE	10	2025-12-23 19:20:50	3.3	완료	A++	LLM분석(1회시도,완성도100%)	13
☐	On	-	14	on	PREP	PREP, ADV	/ɒn/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	위에, ~에 관하여, 켜짐	physically in contact with and supported by (a surface); used to indicate the day or date on which something happens; concerning a particular subject	From Old English 'on', related to Old High German 'ana' meaning 'on'.	simple	simple	초등	초3-초6	포함	포함	K	1	200L-400L	Yes	85	5급	초급	preposition|adverb	aboard|upon	upon|about|regarding	off	on the table | on the phone | on time | on sale | on purpose	none	general	general	location, state	Global	current	Students will be able to use 'on' correctly to indicate location, time, and topic.	Basic understanding of nouns and prepositions.	Confusing 'on' with 'in' or 'at' when referring to location or time.	Use visual aids to demonstrate location; practice with fill-in-the-blank exercises.	The book is on the table.	She insisted on going to the party despite feeling unwell.	The success of the project hinges on the team's ability to collaborate effectively.	TRUE	TRUE	TRUE	10	2025-12-23 19:20:59	3.3	완료	A++	LLM분석(1회시도,완성도100%)	14
☐	But	-	15	but	CONJ	CONJ	/bʌt/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	그러나, 하지만	used to introduce an added statement, usually something that is different from what you have said before	From Old English 'butan' meaning 'outside, without', a compound of 'be' (by) and 'utan' (out).	simple	simple	초등	초3-초6	포함	포함	K	1.5	200L-400L	Yes	20	5급	초급	conjunction	yet | however | nevertheless	however | yet | nevertheless | still	and	but also | but not | but rather | but only | but then	none	general	general	contrast, conjunction	Global	current	Students will be able to use 'but' to connect contrasting ideas in simple sentences.	Basic sentence structure, understanding of nouns and verbs.	Confusion with 'however' in formal writing; overuse in simple sentences.	Use sentence combining activities; provide examples of contrasting ideas.	I like apples, but I don't like oranges.	She wanted to go to the party, but she had too much work to do.	The evidence was compelling, but the jury remained unconvinced.	TRUE	TRUE	TRUE	10	2025-12-23 19:21:09	3.3	완료	A++	LLM분석(1회시도,완성도100%)	15
☐	We	-	16	we	PRON	PRON	/wiː/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	우리	used by a speaker to refer to himself or herself and one or more other people considered together	From Old English 'wē', from Proto-Germanic '*wīz'	simple	simple	초등	초3-초6	포함	포함	K	1	200L-400L	Yes	20	5급	초급	pronoun|personal pronoun	none	us|ourselves	I	we are|we can|we have|we need|we think	none	general	general	people, pronouns	Global	current	Students will be able to use 'we' correctly to refer to themselves and others as a group.	Understanding of personal pronouns (I, you, he, she, it).	Confusion with 'us' as object pronoun; incorrect verb conjugation (e.g., 'We is' instead of 'We are').	Use real-life examples, role-playing, and group activities to practice using 'we'.	We are students.	We should consider all the options before making a decision.	We are committed to fostering a more inclusive and equitable society for all.	TRUE	TRUE	TRUE	10	2025-12-23 19:21:19	3.3	완료	A++	LLM분석(1회시도,완성도100%)	16
☐	Have	-	17	have	V	VT|AUX	/hæv/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	가지다, 먹다, 경험하다	to possess, own, hold for use, or be provided with	From Old English 'habban', of Germanic origin; related to 'heave'.	have	simple	초등	초3-초6	포함	포함	K	2.5	200L-400L	Yes	12	5급	초급	possess|experience	own|enjoy|suffer	possess|own|contain|experience	lack|lose	have a meeting|have lunch|have fun|have difficulty	having|had	general	general	possession, experience	Global	current	Students will be able to use 'have' to express possession, obligation, and experiences.	Basic subject-verb agreement.	Incorrect use of 'have got' in formal writing; confusion with 'of'.	Use realia to demonstrate possession; role-play different scenarios where 'have' is used.	I have a book.	We have to finish this project by Friday.	Having considered all the evidence, the jury reached a verdict.	TRUE	TRUE	TRUE	10	2025-12-23 19:21:28	3.3	완료	A++	LLM분석(1회시도,완성도100%)	17
☐	Know	-	18	know	V	VT	/noʊ/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	알다	to have information in your mind	From Old English cnāwan, of Germanic origin; related to Dutch kennen and German kennen.	know	simple	초등	초3-초6	포함	포함	K	2.5	200L-400L	Yes	20	5급	초급	understand | perceive	recognize | recall | comprehend	understand | recognize | perceive	misunderstand | ignore	know something | know how | know about | know of	knowledge | knowing | known	general	general	knowledge, understanding	Global	current	Students will be able to use 'know' to express understanding and familiarity with facts, people, and places.	Basic vocabulary, subject-verb agreement.	Confusing 'know' with 'no' or 'now'. Incorrect verb tense usage.	Use flashcards, role-playing, and sentence-building activities.	I know her name.	Do you know where the library is?	He knows better than to argue with his boss.	TRUE	TRUE	TRUE	10	2025-12-23 19:21:38	3.3	완료	A++	LLM분석(1회시도,완성도100%)	18
☐	With	-	19	with	PREP	PREP	/wɪθ/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	함께, ~을 가지고, ~와 함께	accompanied by (another person or thing)	From Old English 'wiþ', meaning 'against, opposite, near'.	simple	simple	초등	초3-초6	포함	포함	K	1.5	200L-400L	Yes	20	5급	초급	preposition	N/A	alongside, together with, accompanying	without	with pleasure | with ease | with caution | with respect | with regard to	N/A	general	general	relationships, prepositions	Global	current	Students will be able to use 'with' correctly to indicate accompaniment and possession.	Basic understanding of nouns and pronouns.	Confusion with 'without'; incorrect preposition usage in complex sentences.	Use visual aids to demonstrate 'with' in different contexts; practice sentence completion exercises.	I am with my friend.	She went to the party with her sister.	With all due respect, I disagree with your assessment of the situation.	TRUE	TRUE	TRUE	10	2025-12-23 19:21:48	3.3	완료	A++	LLM분석(1회시도,완성도100%)	19
☐	Be	-	20	be	V	V	/biː/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	이다, 있다, 되다	to exist; to happen; used to indicate the identity of a person or thing	From Proto-Germanic *bēaną ('to be, become'), from Proto-Indo-European *bʰúH- ('to grow, become, come into being').	simple	simple	초등	초3-초6	포함	포함	K	2	200L-400L	Yes	10	5급	초급	exist | occur	become | remain | seem	exist | occur | happen	none	be happy | be careful | be ready | be able to | be interested	being | was | were | is | am | are | been	general	general	existence, state	Global	current	Students will be able to use 'be' in simple present and past tense sentences.	Basic pronouns (I, you, he, she, it, we, they).	Confusing 'be' with other verbs; incorrect subject-verb agreement.	Use visual aids, repetition, and simple sentence structures.	I want to be a doctor.	It is important to be aware of the potential risks involved in this project.	The key to success is to be persistent and adaptable in the face of challenges.	TRUE	TRUE	TRUE	10	2025-12-23 19:21:59	3.3	완료	A++	LLM분석(1회시도,완성도100%)	20
☐	She	-	21	she	PRON	PRON	/ʃiː/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	그녀	The female person or animal previously mentioned or easily identified.	From Old English 'sēo', related to 'se' (that, the one).	simple	simple	초등	초3-초6	포함	포함	K	1	200L-400L	Yes	12	5급	초급	pronoun|person	none	her	he	she said|she thought|she felt|she knew|she looked	none	general	general	people, gender	Global	current	Students will be able to use 'she' correctly to refer to a female person.	Understanding of nouns and pronouns.	Confusion with 'he' or 'it'; incorrect pronoun agreement.	Use pictures and real-life examples to illustrate the use of 'she'.	She is a teacher.	She decided to pursue a career in medicine after volunteering at a local hospital.	She navigated the complexities of international diplomacy with grace and unwavering resolve.	TRUE	TRUE	TRUE	10	2025-12-23 19:22:07	3.3	완료	A++	LLM분석(1회시도,완성도100%)	21
☐	What	-	22	what	PRON	PRON, DET, ADV, INTJ	/wʌt/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	무엇, 무슨	used to ask for information about something	From Old English hwæt, from Proto-Germanic *hwat.	simple	simple	초등	초3-초6	포함	포함	K	1	200L-400L	Yes	12	5급	초급	pronoun|determiner|adverb|interjection	none	which, that, how	none	What time | What day | What kind | What about | What if	none	general	general	questions, information	Global	current	Students will be able to use 'what' to ask basic questions.	Basic question words (who, where, when).	Confusion with 'which' when a limited set of options is available.	Role-playing, question-answer activities.	What is your name?	What I need is a good night's sleep.	What with the rain and what with the traffic, we were late.	TRUE	TRUE	TRUE	10	2025-12-23 19:22:16	3.3	완료	A++	LLM분석(1회시도,완성도100%)	22
☐	As	-	23	as	PREP	PREP/CONJ/ADV	/æz/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	처럼, ~로서, ~만큼	used to refer to the function or character that someone or something has	From Old English 'eall swā', meaning 'all so' or 'entirely so'.	simple	simple	초등	초3-초6	포함	포함	K	1	200L-400L	Yes	20	5급	초급	preposition|conjunction|adverb	as if|as long as|as soon as	like|while|because	unlike	as soon as | as well as | as if | as long as | as a result	none	general	general	comparison, role, time	Global	current	Students will be able to use 'as' to make comparisons, indicate roles, and connect clauses.	Basic understanding of sentence structure and parts of speech.	Confusing 'as' with 'like' in comparisons; incorrect use of 'as' in complex sentences.	Use examples and sentence completion exercises to illustrate different uses of 'as'.	He works as a teacher.	As the rain started, we decided to go inside.	As a seasoned diplomat, she navigated the complex negotiations with remarkable skill.	TRUE	TRUE	TRUE	10	2025-12-23 19:22:25	3.3	완료	A++	LLM분석(1회시도,완성도100%)	23
☐	Not	-	24	not	ADV	ADV	/nɒt/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	아니다, 않다	used to make a statement negative	From Old English 'nāht' meaning 'nothing', a compound of 'ne' (not) and 'āht' (aught, anything).	simple	simple	초등	초3-초6	포함	포함	K	1.5	200L-400L	Yes	15	5급	초급	negation|adverb	never|nowhere|nobody	no|nay	Yes|Indeed|Certainly	not at all|not really|not yet|not only|not even	none	general	general	negation, grammar	Global	current	Students will be able to use 'not' correctly to form negative sentences.	Basic sentence structure; understanding of auxiliary verbs.	Confusion with 'no'; incorrect placement in sentences.	Use substitution drills; provide sentence completion exercises.	I am not happy.	She decided not to go to the party because she was feeling unwell.	Notwithstanding the compelling evidence, the jury remained unconvinced, not because of a lack of proof, but due to the defendant's persuasive demeanor.	TRUE	TRUE	TRUE	10	2025-12-23 19:22:34	3.3	완료	A++	LLM분석(1회시도,완성도100%)	24
☐	So that	-	25	so that	CONJ	CONJ	/soʊ ðæt/	1st-500	1st-1000	Tier-2	Level-5	B1	고빈도	~하기 위해서, ~하도록	In order that; with the purpose that.	Combination of 'so' (Old English 'swā', meaning 'in this way') and 'that' (Old English 'þæt', a demonstrative pronoun).	compound (so + that)	compound	중등	중1-중3	포함	포함	6	5	700L-900L	Yes	55	3급	중급	conjunction|subordinator	in order that	in order to|to|that	because|since	use so that|study so that|work so that|plan so that	so|that	formal	general	purpose, cause and effect	Global	current	Students will be able to use 'so that' to express purpose in complex sentences.	Basic sentence structure, understanding of conjunctions.	Incorrect use of tense after 'so that'. Confusion with 'such that'.	Provide examples, gap-fill exercises, sentence combining activities.	I study hard so that I can pass the exam.	She saved money so that she could travel to Europe next year.	The government implemented new policies so that the economy could recover more quickly.	TRUE	TRUE	TRUE	10	2025-12-23 19:22:44	3.3	완료	A++	LLM분석(1회시도,완성도100%)	25
☐	This	-	#50	this	PRON	DET|PRON	/ðɪs/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	이것, 이	used to identify a specific person or thing close at hand or being discussed or referred to.	From Old English 'þis', neuter form of 'þes' meaning 'this, these'. Proto-Germanic *þat, from PIE root *to- 'that'.	simple	simple	초등	초3-초6	포함	포함	K	1	200L-400L	Yes	15	5급	초급	demonstrative|determiner	N/A	here, the aforementioned	that	this morning | this afternoon | this evening | this week | this year | this way | like this | this kind of	that|these|those	general	general	demonstratives, reference	Global	current	Students will be able to correctly use 'this' to refer to singular nouns near them or being discussed.	Basic noun recognition, understanding of singular vs. plural.	Confusion with 'that' in distance (physical or conceptual). Incorrect pluralization (this vs. these).	Use real objects and point to them while saying 'this'. Use pictures and ask 'What is this?'	This is my book.	This situation requires immediate attention.	This approach, while innovative, presents several logistical challenges.	TRUE	TRUE	TRUE	10	2026-01-11 22:46:25	3.3	완료	A++	LLM분석(1회시도,완성도100%)	26
☐	There	-	#50	there	ADV	ADV, PRON	/ðeər/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	거기에, 있다	in or at that place; used to indicate the existence or presence of something	From Old English þǣr, related to that.	simple	simple	초등	초3-초6	포함	포함	K	2.5	200L-400L	Yes	20	5급	초급	adverb|pronoun	nowhere|everywhere	in that place|at that location	here	there is | there are | over there | there you go	that|then|therefore	general	general	location, existence	Global	current	Students will be able to use 'there' correctly to indicate location and existence.	Basic subject-verb agreement, understanding of prepositions of place.	Confusion with 'their' and 'they're'. Incorrect subject-verb agreement after 'there'.	Use visual aids to demonstrate location. Practice sentence construction with 'there is/are'.	There is a book on the table.	I heard there's a new restaurant downtown that's supposed to be excellent.	There has been a significant increase in the number of students applying to universities this year.	TRUE	TRUE	TRUE	10	2026-01-11 22:46:36	3.3	완료	A++	LLM분석(1회시도,완성도100%)	27
☐	At	-	#20	at	PREP	PREP	/æt/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	에, ~에서	Expressing location or arrival in a particular place or position.	From Middle English at, æt, from Old English æt ("at, to, near, from, by, in, on, for, against"), from Proto-Germanic *at ("at, to, near"), from Proto-Indo-European *ad- ("to, near").	simple	simple	초등	초3-초6	포함	포함	K	1	200L-400L	Yes	15	5급	초급	preposition	N/A	in | on | near | by	away from	at home | at school | at work | at night | at the beginning | at the end | at least | at first	N/A	general	general	location, time	Global	current	Students will be able to use 'at' to indicate location and time.	Basic understanding of nouns and pronouns.	Confusion with 'in' and 'on' regarding location.	Use visual aids and real-life examples to demonstrate the usage of 'at'.	I am at home.	She excels at playing the piano.	The company is operating at a loss due to the recent economic downturn.	TRUE	TRUE	TRUE	10	2026-01-11 22:46:47	3.3	완료	A++	LLM분석(1회시도,완성도100%)	28
☐	Do	-	#4	do	V	VI/VT	/duː/	1st-500	1st-1000	Tier-1	Level-1	A1	고빈도	하다	to perform an action; to work on something	From Old English dōn, from Proto-Germanic *dōną, from Proto-Indo-European *dʰeh₁- ('to put, place, do').	simple	simple	초등	초3-초6	포함	포함	K	1.5	200L-400L	Yes	85	5급	초급	act | perform	accomplish | achieve | execute	perform | execute | accomplish	undo | neglect	do homework | do business | do a favor | do well | do badly	doing | did | done | does	general	general	action, activity	Global	current	Students will be able to use 'do' in simple sentences to describe actions and activities.	Basic verb conjugation, subject-verb agreement.	Confusing 'do' with 'make' in certain contexts (e.g., 'do a mistake' instead of 'make a mistake').	Use action-based activities, role-playing, and sentence-building exercises.	I do my homework every day.	What are you going to do this weekend?	The company will do well if it continues to innovate.	TRUE	TRUE	TRUE	10	2026-01-11 22:46:56	3.3	완료	A++	LLM분석(1회시도,완성도100%)	29
